Agency,Complaint Type,Descriptor,Additional_Details,Public View,Location_Type,agency_label,agency_id,complaint_description,Predicted_Agency
Department of Health and Mental Hygiene,Food Establishment,Permit/License/Certificate,No Food Protection Certificate,Yes,Restaurant/Bar/Deli/Bakery,6,6,food establishment permit/license/certificate,Department of Health and Mental Hygiene
Department of Health and Mental Hygiene,Food Establishment,Permit/License/Certificate,No Food Protection Certificate,Yes,Senior Center,6,6,food establishment permit/license/certificate,Department of Health and Mental Hygiene
Department of Health and Mental Hygiene,Food Establishment,Permit/License/Certificate,Permit Not Posted/Visible,Yes,Senior Center,6,6,food establishment permit/license/certificate,Department of Health and Mental Hygiene
Department of Health and Mental Hygiene,Food Establishment,Permit/License/Certificate,Frzn Dessert Machine Illegal,Yes,Senior Center,6,6,food establishment permit/license/certificate,Department of Health and Mental Hygiene
Department of Health and Mental Hygiene,Food Establishment,Permit/License/Certificate,Frzn Dessert Vendor Unlicensed,Yes,Senior Center,6,6,food establishment permit/license/certificate,Department of Health and Mental Hygiene
Department of Health and Mental Hygiene,Food Establishment,Permit/License/Certificate,Frzn Dessert Vendor Unlicensed,Yes,Soup Kitchen,6,6,food establishment permit/license/certificate,Department of Health and Mental Hygiene
Department of Health and Mental Hygiene,Food Establishment,Permit/License/Certificate,Frzn Dessert Machine Illegal,Yes,Soup Kitchen,6,6,food establishment permit/license/certificate,Department of Health and Mental Hygiene
Department of Health and Mental Hygiene,Food Establishment,Permit/License/Certificate,Permit Not Posted/Visible,Yes,Soup Kitchen,6,6,food establishment permit/license/certificate,Department of Health and Mental Hygiene
Department of Health and Mental Hygiene,Food Establishment,Permit/License/Certificate,No Food Protection Certificate,Yes,Soup Kitchen,6,6,food establishment permit/license/certificate,Department of Health and Mental Hygiene
Department of Health and Mental Hygiene,Food Establishment,Permit/License/Certificate,No Food Protection Certificate,Yes,Street Fair Vendor,6,6,food establishment permit/license/certificate,Department of Health and Mental Hygiene
Department of Health and Mental Hygiene,Food Establishment,Permit/License/Certificate,Permit Not Posted/Visible,Yes,Street Fair Vendor,6,6,food establishment permit/license/certificate,Department of Health and Mental Hygiene
Department of Health and Mental Hygiene,Food Establishment,Permit/License/Certificate,Frzn Dessert Machine Illegal,Yes,Street Fair Vendor,6,6,food establishment permit/license/certificate,Department of Health and Mental Hygiene
Department of Health and Mental Hygiene,Food Establishment,Permit/License/Certificate,Frzn Dessert Vendor Unlicensed,Yes,Street Fair Vendor,6,6,food establishment permit/license/certificate,Department of Health and Mental Hygiene
Department of Health and Mental Hygiene,Food Establishment,Permit/License/Certificate,Frzn Dessert Vendor Unlicensed,Yes,Summer Camp,6,6,food establishment permit/license/certificate,Department of Health and Mental Hygiene
Department of Health and Mental Hygiene,Food Establishment,Permit/License/Certificate,Frzn Dessert Machine Illegal,Yes,Summer Camp,6,6,food establishment permit/license/certificate,Department of Health and Mental Hygiene
Department of Health and Mental Hygiene,Food Establishment,Permit/License/Certificate,Permit Not Posted/Visible,Yes,Summer Camp,6,6,food establishment permit/license/certificate,Department of Health and Mental Hygiene
Department of Health and Mental Hygiene,Food Establishment,Permit/License/Certificate,No Food Protection Certificate,Yes,Summer Camp,6,6,food establishment permit/license/certificate,Department of Health and Mental Hygiene
Department of Health and Mental Hygiene,Food Establishment,Pesticide,,Yes,Cafeteria - College/University,6,6,food establishment pesticide,Department of Health and Mental Hygiene
Department of Health and Mental Hygiene,Food Establishment,Pesticide,Not Used/Stored Correctly,Yes,Cafeteria - College/University,6,6,food establishment pesticide,Department of Health and Mental Hygiene
Department of Health and Mental Hygiene,Food Establishment,Pesticide,Not Used/Stored Correctly,Yes,Cafeteria - Private School,6,6,food establishment pesticide,Department of Health and Mental Hygiene
Department of Health and Mental Hygiene,Food Establishment,Pesticide,,Yes,Cafeteria - Private School,6,6,food establishment pesticide,Department of Health and Mental Hygiene
Department of Health and Mental Hygiene,Food Establishment,Pesticide,,Yes,Cafeteria - Public School,6,6,food establishment pesticide,Department of Health and Mental Hygiene
Department of Health and Mental Hygiene,Food Establishment,Pesticide,Not Used/Stored Correctly,Yes,Cafeteria - Public School,6,6,food establishment pesticide,Department of Health and Mental Hygiene
Department of Health and Mental Hygiene,Food Establishment,Pesticide,Not Used/Stored Correctly,Yes,Catering Service,6,6,food establishment pesticide,Department of Health and Mental Hygiene
Department of Health and Mental Hygiene,Food Establishment,Pesticide,,Yes,Catering Service,6,6,food establishment pesticide,Department of Health and Mental Hygiene
Department of Health and Mental Hygiene,Food Establishment,Pesticide,,Yes,Correctional Facility - City,6,6,food establishment pesticide,Department of Health and Mental Hygiene
Department of Health and Mental Hygiene,Food Establishment,Pesticide,Not Used/Stored Correctly,Yes,Correctional Facility - City,6,6,food establishment pesticide,Department of Health and Mental Hygiene
Department of Health and Mental Hygiene,Food Establishment,Pesticide,Not Used/Stored Correctly,Yes,Correctional Facility - State,6,6,food establishment pesticide,Department of Health and Mental Hygiene
Department of Health and Mental Hygiene,Food Establishment,Pesticide,,Yes,Correctional Facility - State,6,6,food establishment pesticide,Department of Health and Mental Hygiene
Department of Health and Mental Hygiene,Food Establishment,Pesticide,,Yes,Other (Explain Below),6,6,food establishment pesticide,Department of Health and Mental Hygiene
Department of Health and Mental Hygiene,Food Establishment,Pesticide,Not Used/Stored Correctly,Yes,Other (Explain Below),6,6,food establishment pesticide,Department of Health and Mental Hygiene
Department of Health and Mental Hygiene,Food Establishment,Pesticide,Not Used/Stored Correctly,Yes,Restaurant/Bar/Deli/Bakery,6,6,food establishment pesticide,Department of Health and Mental Hygiene
Department of Health and Mental Hygiene,Food Establishment,Pesticide,,Yes,Restaurant/Bar/Deli/Bakery,6,6,food establishment pesticide,Department of Health and Mental Hygiene
Department of Health and Mental Hygiene,Food Establishment,Pesticide,,Yes,Senior Center,6,6,food establishment pesticide,Department of Health and Mental Hygiene
Department of Health and Mental Hygiene,Food Establishment,Pesticide,Not Used/Stored Correctly,Yes,Senior Center,6,6,food establishment pesticide,Department of Health and Mental Hygiene
Department of Health and Mental Hygiene,Food Establishment,Pesticide,Not Used/Stored Correctly,Yes,Soup Kitchen,6,6,food establishment pesticide,Department of Health and Mental Hygiene
Department of Health and Mental Hygiene,Food Establishment,Pesticide,,Yes,Soup Kitchen,6,6,food establishment pesticide,Department of Health and Mental Hygiene
Department of Health and Mental Hygiene,Food Establishment,Pesticide,,Yes,Street Fair Vendor,6,6,food establishment pesticide,Department of Health and Mental Hygiene
Department of Health and Mental Hygiene,Food Establishment,Pesticide,Not Used/Stored Correctly,Yes,Street Fair Vendor,6,6,food establishment pesticide,Department of Health and Mental Hygiene
